"College","CDS_loc","Name_Table_Loc"
"Wentworth Institute of Technology","cds_cleaned/wit.edu_sites_default_files_2023-04_CDS_2022-2023.pdf","data_tables/name_tables/wentworth_institute_of_technology.csv"
"Western Michigan University","cds_cleaned/wmich.edu_sites_default_files_attachments_u965_2023_WMU_CDS_2022-23_Updated.pdf","data_tables/name_tables/western_michigan_university.csv"
"Western New England University","cds_cleaned/wne.edu_institutional-research_doc_CDS-2022-2023-Final-with-Updated-URLs-for-New-Website.pdf","data_tables/name_tables/western_new_england_university.csv"
"FAILED","cds_cleaned/www.aamu.edu_campus-life_student-support_career-development__documents_cds-2022-fall-career-guide.pdf","DNE"
"Agnes Scott College","cds_cleaned/www.agnesscott.edu_assets_documents_institutional-research_cds_2022-2023.pdf","data_tables/name_tables/agnes_scott_college.csv"
"FAILED","cds_cleaned/www.ahu.edu_sites_default_files_assets_ahu-rn-bsn-fall-2022-student-handbook.pdf","DNE"
"FAILED","cds_cleaned/www.alaska.edu_research_councils_ac_new-programs_Addition%20of%20Doctorate%20in%20Earth%20System%20Science%20-%20Addition.pdf","DNE"
"FAILED","cds_cleaned/www.alaskapacific.edu_wp-content_uploads_2022_08_2022-2023-Student-Handbook_FINAL.pdf","DNE"
"Alabama State University","cds_cleaned/www.alasu.edu_sites_default_files_2022-11_CDS_2021-2022-1.pdf","data_tables/name_tables/alabama_state_university.csv"
"FAILED","cds_cleaned/www.albertus.edu__resources_assets_pdf_2023_FinAid_FAQpacket.pdf","DNE"
"FAILED","cds_cleaned/www.albizu.edu_wp-content_uploads_dlm_uploads_2023_02_New-Catalog-Spring-2023-Fall-2023-Volume-22-revised-February-23-2023final-2.pdf","DNE"
"FAILED","cds_cleaned/www.alc.edu_wp-content_uploads_2022_06_22-24-catalog.pdf","DNE"
"American University","cds_cleaned/www.american.edu_provost_oira_upload_cds_2022-2023_american-university-3.pdf","data_tables/name_tables/american_university.csv"
"FAILED","cds_cleaned/www.andrewcollege.edu_wp-content_uploads_2022_03_AC-Catalog-2022-2023-03212022.pdf","DNE"
"FAILED","cds_cleaned/www.apeejay.edu_saket_docs_sample-paper-2022_Class-x_EnglishL-SQP.pdf","DNE"
"Austin Peay State University","cds_cleaned/www.apsu.edu_dsir_common_data_set_CDS-2022-2023.pdf","data_tables/name_tables/austin_peay_state_university.csv"
"Aquinas College","cds_cleaned/www.aquinas.edu__files_2022-2023%20Aquinas%20College%20Common%20Data%20Set-1.pdf","data_tables/name_tables/aquinas_college.csv"
"FAILED","cds_cleaned/www.arizonachristian.edu_wp-content_uploads_2022_07_2022-2023-ACU-Catalog_FINAL_7.27.2022.pdf","DNE"
