"College_Name","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest","UNITID","APPLCN","APPLCNM","APPLCNW","APPLCNAN","APPLCNUN","ADMSSN","ADMSSNM","ADMSSNW","ADMSSNAN","ADMSSNUN","ENRLT","ENRLM","ENRLW","ENRLAN","ENRLUN"
"beloit college",1,3,1,3,3,1,2,2,2,1,1,0,0,0,1,1,1,NA,1,238333,3462,1792,1670,NA,0,2280,1112,1168,NA,0,232,120,112,NA,0
"boston college",2,3,1,2,2,NA,2,2,2,1,NA,0,0,2,1,2,1,NA,0,164924,40494,15887,24459,148,0,6748,2964,3765,19,0,2335,1079,1253,3,0
"bowie state university",1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,0,162007,5445,1766,3679,NA,0,4712,1455,3257,NA,0,1188,450,738,NA,0
"bradley university",1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,143358,11352,4621,6731,NA,0,8530,3343,5187,NA,0,1036,467,569,NA,0
"brigham young university",0,3,3,3,3,0,3,3,3,2,0,0,0,3,0,3,3,3,1,230038,10559,4723,5836,NA,0,7040,2758,4282,NA,0,5565,2230,3335,NA,0
"bucknell university",1,3,2,3,2,0,3,3,3,1,1,1,0,1,1,2,2,3,1,211291,11707,5801,5906,NA,0,3811,1717,2094,NA,0,1034,503,531,NA,0
"cabrini university",0,3,1,2,1,1,1,1,1,0,1,0,0,0,0,1,0,NA,1,211352,3403,1088,2301,NA,14,2672,844,1815,NA,13,282,97,184,NA,1
"california state polytechnic university pomona",0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0,110529,49079,25201,23878,NA,0,27179,12222,14957,NA,0,3655,2028,1627,NA,0
"california state university sacramento",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,110617,25276,10591,14685,NA,0,23559,9769,13790,NA,0,3916,1721,2195,NA,0
"california state university san bernardino",0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,110510,15501,6417,9084,NA,0,14119,5737,8382,NA,0,2324,965,1359,NA,0
"central michigan university",1,3,1,1,1,1,1,2,1,0,1,0,0,0,0,1,1,3,1,169248,19888,7831,12053,4,0,15701,6083,9616,2,0,2019,810,1209,0,0
"chatham university",1,2,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,NA,1,211556,3514,1223,2289,2,0,2331,687,1643,1,0,306,102,204,0,0
"christopher newport university",2,3,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,3,2,231712,7428,3386,4042,NA,0,6340,2838,3502,NA,0,1161,575,586,NA,0
"claremont mckenna college",3,3,1,2,3,2,3,2,3,1,1,1,0,0,1,1,1,3,0,112260,5709,2545,3164,0,0,591,266,325,NA,0,322,157,165,NA,0
